,SBI Bluechip Fund,ICICI Pru Bluechip Fund,Nippon Large Cap Fund,Axis Bluechip Fund,HDFC Top 100 Fund
2023-04-17,1.969477784921095,-0.6572442101168026,4.785841976292348,0.3568212625007438,0.8797766271906632
2023-04-18,1.8997726578838796,-0.7348705774106469,4.731074359342824,0.25646278357064956,0.7422581064754619
2023-04-19,1.9645820083716974,-0.16270974131125648,4.628211874287124,0.13542769075540032,1.2591751216745177
2023-04-20,1.744202835748549,0.12463903621442682,4.609382299330529,0.5953917736899119,0.873151702815249
2023-04-21,1.5612789346283404,0.4435462300398649,4.69919644567375,0.513439506880933,0.8274662978868952
2023-04-24,1.6519293030571258,0.4349268615660834,4.681066212936712,0.210599598102137,0.8277390246802054
2023-04-25,1.5320754427065302,-0.010516255604845365,4.614879004801938,0.5761738409616111,0.6276529066731986
2023-04-26,1.2098328670307554,0.29935963322297393,4.431244618405256,0.6052999214984027,0.6316384096360559
2023-04-27,0.9163674493241821,0.2507724539184939,4.3356466483053,0.6551894380180566,0.4102426269302708
2023-04-28,1.1344665453800369,0.3739089725846265,3.8875356658010265,1.0258904792231331,0.5936587828208695
2023-05-01,1.277440438465866,0.12761423512837405,3.337913743684756,1.0828015128259971,0.8526276926008519
2023-05-02,0.739279097971817,0.29996127866627853,3.1743510201731957,1.0240548717317286,0.6336610724573255
2023-05-03,0.5969909045406696,-0.2617097810188494,3.141418116504233,1.2234428972510625,0.7735604395264191
2023-05-04,0.37053047641441383,-0.7369039819038254,2.854494813916718,0.5773729584004628,0.5806209360904208
2023-05-05,0.17908132843391608,-0.8195566620769992,2.799732798323782,0.7580457720800052,0.3941045508905687
2023-05-08,0.42163646102938995,-0.745920073776277,2.721784167335805,0.9119788203017637,0.4049627992546475
2023-05-09,0.7132500231482989,-0.8701957318116502,2.4011935918553315,1.1610503722564691,0.2887887858771646
2023-05-10,1.604323622213124,-0.33612564580906257,1.9770084803964452,1.0998681620370718,0.37417882874397507
2023-05-11,1.7978575367059424,-0.2715260417485441,1.8786112433865163,1.2215957629250476,0.7670464351757574
2023-05-12,1.8479434413447247,-0.36048128142987945,1.5499904290765563,0.7259068222519472,1.015919135484857
2023-05-15,1.9073597442590762,-0.8877476720917257,1.5529174299159332,0.6132775897095895,1.3257499713961172
2023-05-16,1.5903360363789714,-0.8964444066199382,1.5514505322903138,0.8447077442728063,1.0095947024842296
2023-05-17,1.8651615013329987,-0.5297578548742908,1.476342067437663,0.9831579382250498,1.1376863136339042
2023-05-18,2.034688660297166,-0.5998716931476775,1.0885646033502965,1.0355411968645525,0.8565730555345721
2023-05-19,1.8139097440872534,-0.4069000679760062,1.0978352298264582,1.0677337354223022,1.2348973749021754
2023-05-22,1.636449284003034,0.007299441004209171,0.8969438184881213,1.1805010935352458,1.6186735630761937
2023-05-23,2.291240595317292,-0.30708877760227027,0.6388593260061909,1.0901393863459266,1.6615404734492016
2023-05-24,2.0305356494302225,-0.29896988731891755,0.9046138250528153,1.217939690536054,1.7517983014788658
2023-05-25,2.115771634134027,-0.08442024727137046,0.9532692989999175,1.146606603507184,1.863811948596753
2023-05-26,2.50380178942689,-0.351916598831835,1.3300383828868352,1.4584679453380922,1.6287778969494024
2023-05-29,2.308480014956049,-0.4327433995298709,0.9471179451059655,1.2540641716728465,1.4601417040106983
2023-05-30,2.3139523761879395,-0.19225374467108125,0.9872781053960308,0.9224395955979493,1.4128801643621731
2023-05-31,2.460959170187241,-0.5629796788778024,0.976880030412283,0.8488122356881953,1.59059660599036
2023-06-01,2.467234739267582,-0.44220626684963343,1.0200511426799068,0.7466962783138712,1.690431485420365
2023-06-02,2.369564126208983,-0.21504042119435435,1.3844865977892498,0.41520024844958836,1.6709737569764906
2023-06-05,2.3496083335154876,0.09537019276294553,1.1724797953921564,0.4975208347235655,1.3199705629475778
2023-06-06,2.3161732456948645,0.1679145782018682,1.0829429172351042,0.6741907316377715,1.4170947604945656
2023-06-07,2.293767600831855,0.5655451618989535,1.381273798525277,0.5646818763386242,1.4438223182428747
2023-06-08,2.8124620457089606,0.4901316520943427,1.448447675372576,0.621936744119549,1.5638866167916547
2023-06-09,2.8149184423368907,0.6309445818694123,1.2925989047298296,0.8711267701908365,1.7758778716368555
2023-06-12,3.182781295241864,0.3167137250474894,1.2929081259703257,0.6485052213524263,1.5503867628319306
2023-06-13,3.407006297774526,0.3981493901270507,1.3890422216019926,0.7730165633438882,1.7370169372961455
2023-06-14,3.3191413580152354,0.14926379263991696,1.6431955400893052,0.801531319870788,1.4056835643074435
2023-06-15,3.620442083814285,-0.08474151300433679,1.6792800346896077,0.7507142233087559,1.439747892026207
2023-06-16,3.5688161250564714,-0.3190935256317913,1.6833683002759978,0.42765879309956906,1.9411256897683664
2023-06-19,3.4026783958849047,-0.02756276111827325,1.3856443426040657,0.17397500621101566,1.776087500044115
2023-06-20,3.3748446877295044,-0.369400041698281,1.8032048884101584,0.36423207097620247,1.986683926079943
2023-06-21,2.9250003453555746,-0.7357823343345022,1.6628596726898832,0.5187935083921164,2.293501947104242
2023-06-22,2.634184651616859,-0.7241574220958542,1.5408977801172996,0.6843353242519644,2.130557143423364
2023-06-23,2.383219566645433,-0.9788516023946845,1.7623563314469626,0.6691542761761918,2.204685434153711
2023-06-26,2.57492181101244,-0.7265813607266188,2.0078842898030618,0.8903728858706235,1.9693980836508018
2023-06-27,2.4671417353508946,-0.40698186524746577,2.084258145669762,1.024620806938027,2.0642301481278884
2023-06-28,2.736280650062196,-0.3288045227719555,1.91483667787992,1.3518127810156506,2.2440623413288567
2023-06-29,2.7606056212749377,-0.7182973534776476,1.5333942664157854,1.033858315237456,2.1167395741683044
2023-06-30,2.504823677903925,-0.5720738262839298,1.4273618988558696,1.0087969462240018,2.385035480799439
2023-07-03,2.4878876597872788,-0.6437847430561177,1.5773125038438487,0.9634960145269268,1.7961740196495197
2023-07-04,2.7131591900677887,-0.23178803288597152,1.6961076968557969,0.9471197294890286,1.6798281264085118
2023-07-05,2.2549053688936156,-0.3079941089157878,1.8471234658458469,0.8656292267115784,1.4513685041824853
2023-07-06,2.4572482973717995,-0.27631544321148793,1.8119593344545697,0.9024867796066606,1.4284912597023471
2023-07-07,2.67848804609154,-0.3651294497298294,2.0368939633144,0.8986812566287965,1.748700082282202
2023-07-10,2.554979905033951,-0.3047356132097438,1.9279772717017527,1.047444607816252,1.6541105455084846
2023-07-11,1.9339160934267272,-0.09569138205855385,1.8971970422321751,1.0550878710189275,1.47133076584728
2023-07-12,2.300112396537142,-0.08300388935789586,1.9110841562389045,1.3276484585668977,1.0661535835536762
2023-07-13,2.172880445955264,-0.6225124426354045,2.01624299726347,1.1051902871324792,1.1608781866907514
2023-07-14,2.435662612979924,-0.5882121054686031,2.262115667061807,0.9240670399904418,1.1558505470729412
2023-07-17,2.1312231850004166,-0.30851670719456825,1.9299846278500696,1.3230614363152051,0.6784680132254594
2023-07-18,1.8136517037608615,-0.30695856257279036,1.8091025439886474,1.6781685530981771,0.6553896333465077
2023-07-19,1.6624325568908442,-0.6671924224931121,1.988982279456971,1.7710859507545464,0.7985036322681547
2023-07-20,1.5204456153563366,-1.1625423268049362,1.406744510186214,1.599463510224288,0.9234896768093898
2023-07-21,1.1916091780350393,-1.3370639616784572,1.7074988045513424,1.9713046989796912,0.9966460512155684
2023-07-24,1.3060122916061345,-0.9322242655219879,1.7018859151813008,2.2205728962212565,0.3840318213125369
2023-07-25,0.9618843709012453,-0.9996490976704201,1.5280296227737469,1.9063320956996574,0.6405756269731626
2023-07-26,0.9948182603987771,-1.385736265736122,1.7625745445006873,1.709619426342575,0.6224012732074944
2023-07-27,0.9558873105216312,-1.529877394711871,1.9094556853679716,1.8147920040922363,0.6329886029861597
2023-07-28,1.0791174325927646,-1.6658321534533227,2.3540905607626548,2.3097717893855045,0.7614376372640034
2023-07-31,1.1945159857870344,-1.5209706114013806,1.9833009805313895,1.6541127934972053,0.5117887189907051
2023-08-01,0.858662189776685,-1.505270259909431,1.8062398728506823,1.2926772006222493,0.7716274461181744
2023-08-02,0.715345552669289,-1.6690715828269393,1.6623109177259605,1.1779252044923574,0.8426522755011691
2023-08-03,0.5693982007629343,-2.04699954662012,1.9522805391958196,0.9856903424081229,-0.001421183216510696
2023-08-04,0.831482814316085,-2.0447097716719744,1.6333504400341832,0.8289160734112206,-0.18866748008605905
2023-08-07,0.9267639230275371,-2.1595293870180976,2.0176872721751016,1.1151937505752176,0.26305052236419874
2023-08-08,0.9970291950404346,-2.3676024254135224,2.287529513939673,0.8927784114794887,0.11600277559757863
2023-08-09,0.8691325931315319,-2.1941228732928098,2.4419673257523273,1.2168104595976563,0.3322846184684076
2023-08-10,0.9713378324114458,-1.9324690855881064,2.6543168651544042,1.3389872919745192,0.3646748972731965
2023-08-11,0.8648727332200712,-2.047829852708646,2.727592263208171,1.5300678266867103,-0.04506874342821782
2023-08-14,1.2351565611136943,-1.8043091743795021,2.297534368966239,1.2623656792404407,0.23081680648625835
2023-08-15,1.714394094957608,-1.6322956006643674,2.383816280963322,1.394224527036506,-0.07039287706588326
2023-08-16,1.6530308437970802,-1.6908837578831721,2.4241241609716777,1.180824545015989,-0.18761042621992968
2023-08-17,1.9568182565221979,-1.5259093843081901,2.480011024529428,1.3202792831482049,-0.26937488169238905
2023-08-18,1.9009232272715628,-1.3624644130909644,2.794142510733915,1.4335794563356108,-0.08431484073209117
2023-08-21,2.16301565138164,-1.3518888005206877,2.4026708049853625,1.360907859407316,-0.18356182569304902
2023-08-22,2.1339295629763493,-0.8407868746221133,2.5254108873351617,1.0859031994049446,0.05965472369018077
2023-08-23,2.317277629980368,-0.8487636792755529,2.5442109400350015,1.139671871797541,0.08159905322391935
2023-08-24,2.4246809283806874,-1.337436742046498,2.3579678694191517,0.8632544507959811,0.008075607661304683
2023-08-25,2.1695726469362664,-1.5081855214108253,2.167964683793268,0.780516829368608,0.09521068557761349
2023-08-28,2.0956861479118554,-1.7164199170315972,2.075249704677128,1.193456309245591,0.4597800713050256
2023-08-29,1.6491575686682858,-1.0906048927080005,2.0250212549355564,1.2867491770075448,0.6468920133616461
2023-08-30,1.5587362887271112,-1.3089816778651866,2.179546524459078,1.3757510292376627,1.1426574740881468
2023-08-31,1.7716252105453005,-1.040942539754592,1.8559304980196636,1.3221972812420564,1.4555441742695154
2023-09-01,2.097685455368186,-1.1219497153779305,2.458450036838113,1.0813620378952757,1.3860914102185409
2023-09-04,2.0705577352729723,-1.0537379730030898,2.869449114505034,0.9038178772638394,1.5344299453615977
2023-09-05,2.6039778699711515,-1.1012301658095338,2.8763016824251615,1.2176037883654334,1.5473022718184126
2023-09-06,2.609808521800078,-0.9749539387807654,2.8063231294423363,1.0729641191232842,1.2567711220873539
2023-09-07,2.40775516957942,-0.6961614674581551,2.6198537910756774,1.6092524967827344,1.5801766854451826
2023-09-08,2.4356849812996977,-0.33368901352543284,2.359010113426629,1.0945076608627495,2.011949599283623
2023-09-11,2.447810211545649,-0.23619517843379337,2.5218872272819115,1.2870919695652805,1.8604644771677892
2023-09-12,2.2104014694922043,-0.11744922017973021,2.5489684123126306,1.3290538019026152,2.0471391930295315
2023-09-13,1.6737451973200377,-0.20110947266554166,2.9598396228926194,1.059405846316682,2.0176081634579495
2023-09-14,1.6859392549919818,-0.19696057811591153,2.8571718731087916,0.5843708347093731,1.7181992788492888
2023-09-15,1.456515965021686,0.2766184209233397,3.5319650291947546,0.6374814231102388,1.53357492388515
2023-09-18,1.7424470119149407,0.722885566027159,3.4249136132976816,0.5115240571435258,1.0925186060491308
2023-09-19,1.8065414769189434,0.873551442690165,3.2284878298939623,0.35711820290074914,0.9716547587654885
2023-09-20,1.6901936909815651,0.4104183670013102,3.1681498924992946,0.11606125130557679,0.6601605099707614
2023-09-21,1.5484647106812157,0.32975466896116423,3.3587094057424807,0.3129515860982812,0.6091559785859484
2023-09-22,1.5066010355864141,0.1035140739752556,3.011873366435413,0.11103642124268379,0.4515970230511329
2023-09-25,1.4109561389875864,0.2581948922518346,3.17773390898256,0.32979339401333524,-0.017467125386947332
2023-09-26,1.3230147907127314,-0.01541238124196074,3.3502021217508298,0.594267606710391,0.0012719012908108988
2023-09-27,1.170592295867542,-0.19609035484733756,3.4288313707938207,0.6889341426104124,-0.14398951452425374
2023-09-28,1.1872213821890045,-0.9772748187059418,3.292457682166752,0.7210102534749627,-0.17420700235194225
2023-09-29,0.9841973239220406,-1.0863083189234353,3.475297488792687,0.9024117297437181,0.06528815513374776
2023-10-02,0.916981859846568,-0.982941115845203,3.753868807812554,0.962544732952281,0.3118588184787067
2023-10-03,0.8619805669843903,-0.7245806222392979,3.778395583509185,1.6820058482078628,0.22006599734894947
2023-10-04,0.6847337315499722,-0.29105169002248615,3.3793324853551066,1.7669239629023412,0.16974362795766804
2023-10-05,0.5763166236220716,-0.4921618541553468,3.3019284594289373,1.3744598577357494,-0.05245252750717907
2023-10-06,0.5047106524357517,-0.3832603555413362,3.0373287648211624,1.0020067992744037,0.3926001396485458
2023-10-09,0.8114556685946339,-0.6816263506816297,3.4062549669420075,1.5100543916094258,0.5493201532527101
2023-10-10,0.7373363715416824,-0.641215205484641,3.478260122494886,1.4302447699507508,0.6172828304146862
2023-10-11,0.391559108625122,-0.9167394806366357,3.437930524214423,1.5762045740218869,0.6414228891090228
2023-10-12,0.27071388152014225,-0.9378485995913892,2.9973176745020775,2.0447869992241996,0.5880424810786851
2023-10-13,-0.10567275423977009,-1.0162413876990057,3.3621155079474376,1.386044738517655,0.5259563523437736
2023-10-16,-0.014590953971531056,-0.7541286579135439,3.440141966758339,1.5158492097610012,0.7620887803081281
2023-10-17,-0.05832657357428205,-0.7063643873216328,3.396027479555369,1.3231147086490083,1.201530037217638
2023-10-18,0.038570425717597605,-0.37544866652380865,2.9742740475344696,1.5922841980176494,1.1361588712156725
2023-10-19,-0.43195337412767437,-0.3604506293643831,2.8287688209285857,1.4414032204656566,0.9380630733525817
2023-10-20,-0.39279691898834973,-0.6911220677620299,3.0300533072796205,1.3839648244782419,0.736978658372962
2023-10-23,-0.2968640537222931,-0.6608969407396903,3.0024279223894217,1.3896013084520742,0.8948538580380145
2023-10-24,-0.5732549261918288,-0.8381861557251793,2.926869446899052,1.4925476985072204,0.6912942513182354
2023-10-25,-0.4773472829861479,-0.9392117274217374,2.604098093230745,1.2884012158670417,0.3162381108037063
2023-10-26,-0.15197389639242306,-1.0832624747888986,2.350800405493147,0.9965074601195213,0.013809332543472674
2023-10-27,0.2527466408921873,-1.196977514156131,2.3924291549324357,1.1118434289580403,-0.11279758342445308
2023-10-30,0.18609512118207996,-1.5409568011607708,2.615431109078229,0.6128552482054404,0.3727706888184796
2023-10-31,0.22518305542381775,-1.4871245662412473,2.6227677611761404,0.25713341324350925,0.27608207798993034
2023-11-01,-0.03900917757160828,-1.646864855713335,2.942304234814698,-0.11898845426920318,0.2062383550415712
2023-11-02,0.314635308391,-1.557802205651028,3.0755535408681975,0.10776850858297284,0.15958379306726703
2023-11-03,0.588264104275153,-1.0501940065725182,3.423888334925595,0.3036388771442381,0.22583663514206126
2023-11-06,0.7150369390195941,-1.194747699256999,2.891114179855671,0.17643911324673797,0.8763913917117376
2023-11-07,0.47894699467245516,-1.5952368966250388,2.4496319375197624,0.26717377720940627,1.0507925500044726
2023-11-08,0.4315378191068792,-1.808883994754744,2.4018197719356085,-0.04768854546921283,1.1046452547383783
2023-11-09,0.1695093728948163,-1.8123115667571537,2.385566755402163,-0.17165860609560088,1.1368191941186214
2023-11-10,-0.14888299302691627,-1.6462287001040272,2.4077623048521475,0.19437680563193505,1.0742382223534783
2023-11-13,-0.3019306153673487,-1.489539264238409,2.5398171673185734,0.3794348782869396,1.1978040758083648
2023-11-14,-0.13116701303838713,-1.4258212131953754,2.7605157235748923,0.7061441314299486,1.2866990965157843
2023-11-15,-0.536302948106084,-1.3250492725911682,2.808059012242319,0.48844436048031686,1.5260300312204644
2023-11-16,-0.23180170894629784,-0.648066155731923,2.57782199405399,0.7412325999915609,1.7254821549738353
2023-11-17,-0.29167175736723094,-0.5394279049904653,2.361210117006732,0.7097822304504791,1.6807453777141599
2023-11-20,-0.03363680418765937,-0.7150178010121024,2.776415294345074,0.636931344924329,2.0030396402365036
2023-11-21,0.309882349438976,-0.7445605024612427,2.693705819502098,0.5901754767721998,2.1073793323109857
2023-11-22,0.3217020507393887,-0.4756248347225793,2.3071141722534567,0.5651927983020333,1.947457766263815
2023-11-23,0.1723325771593246,-0.4711405379278481,2.3426748237931156,0.6924581173079202,1.8311767341119023
2023-11-24,0.49197678319339055,-0.36379440035935257,2.301732450262283,0.5298594519541816,1.7629599671920653
2023-11-27,0.47852962083720696,-0.9714525050838899,2.0363264412333595,0.34471278612954687,2.0241496021641767
2023-11-28,0.4835637801080013,-1.0710043593837197,2.279037368559099,0.5023719210526786,2.079226466038661
2023-11-29,0.47574123011853786,-0.6601616430332985,1.5645424015691467,0.45441695263780507,1.872578755981698
2023-11-30,0.31357373142494716,-0.5673740805698378,1.8879496610804711,0.21372468980537984,2.135986021298837
2023-12-01,0.007974002246806784,-0.7072179910978262,1.8146387363415146,-0.30391613145249236,2.5416965387455392
2023-12-04,0.042575390961484286,-0.5556593480579247,1.8998646441344518,-0.08501662390851436,2.5069971581364787
2023-12-05,0.5243394501197877,-0.6389219825026012,2.1430573165603257,0.11373242187481206,2.7487246311688356
2023-12-06,0.5465126997815077,-0.6690083555714395,2.6107309600787403,-0.28613840962339465,2.68923025303812
2023-12-07,0.434827245564249,-0.5641448990490608,2.632574641885087,0.05570462794732841,3.0685484310742694
2023-12-08,0.2777398756524563,-0.39054154330057445,2.6408467184146938,-0.15934926217296413,3.1441094924036017
2023-12-11,0.31962028092993655,-0.40316624610609153,2.0682269954817167,-0.2863528320252667,3.1603545708952208
2023-12-12,-0.024267461283420406,-0.42967230692148844,1.9091987055626662,0.09055207308200815,3.276709892627358
2023-12-13,-0.1811933678852497,-0.5711734425966943,1.6965616266888104,-0.010822925814744932,3.1941330070125433
2023-12-14,-0.3665746248990442,-0.7222785833313723,1.4006047361101934,0.19638415871570283,2.725943416335991
2023-12-15,-0.5101920567591179,-0.7082512060508639,1.3481749567208476,0.0022772268997951887,3.3087473732974924
2023-12-18,-0.8199286155543147,-0.9211709379621774,1.459994487984067,0.06541577456735095,3.3734733916453603
2023-12-19,-1.1397507762643824,-0.842063210558953,1.2986169949512634,0.06829888431612019,3.4138584002921912
2023-12-20,-1.1381215693172886,-0.9648848068846823,1.3551952418111182,0.0446155625063027,3.459770774474489
2023-12-21,-1.4579769872863237,-0.730773944023645,1.4992130478105197,0.1744611596925279,3.4869527113931507
2023-12-22,-1.6673802337034427,-0.6496666959845014,1.3808048526422867,0.08651228865176099,3.723211742863876
2023-12-25,-1.785668165573858,-0.7432995583081732,1.3602009441141798,-0.04263265018705767,3.22784829077676
2023-12-26,-1.5390078001663174,-1.0655598872789607,1.443641179783086,0.037637290063829196,3.169897888813808
2023-12-27,-1.8218702821149897,-1.231666863941026,1.3994697129664484,-0.22197069450087867,2.9244787056300057
2023-12-28,-2.000997965164599,-1.0266787111588427,1.3266053894112184,0.0025007910116787067,3.1964375684496438
2023-12-29,-1.5870202576497041,-0.8590163210461222,1.4250025879369348,-0.16042714770324834,3.239972954565363
2024-01-01,-1.6591199174246622,-0.8755570299979051,1.6316525617604651,-0.17585759612241714,2.763343824815332
2024-01-02,-1.23877269283786,-1.1751943048562266,1.6922825195741853,-0.4420793460684189,2.634054488607966
2024-01-03,-1.3053465040655798,-1.0155454941573758,1.2041268274079036,-0.40636935885750647,2.0357499518437328
2024-01-04,-1.332788775893244,-0.9706359289747218,1.4745354211798964,-0.33192880950071574,1.976993384611277
2024-01-05,-1.7528631365575364,-0.7433178316637333,1.0820735684277645,-0.2496627948117639,1.5631256886861284
2024-01-08,-2.0528500272603005,-0.7044385736827394,1.1143951935516052,-0.31033439734884116,1.6054846726561045
2024-01-09,-2.6396422345540347,-1.0193442888695876,1.2973589830541035,-0.30751198980232924,1.55091325525832
2024-01-10,-2.408114691174816,-0.5020322034240285,1.4287571489801447,-0.39982428313549434,1.6710249962247226
2024-01-11,-2.087837377088203,-0.6188093493716152,1.7577558798915887,-0.6478284010477935,1.7051162843131902
2024-01-12,-2.2325291208457143,-0.7396678816843021,1.863830216255874,-0.6767674293398401,1.1832968805240176
2024-01-15,-2.1824486083296324,-0.8323908340892421,1.6929657740848427,-0.9108557217142915,1.304070930928322
2024-01-16,-2.4408724209928794,-1.1463961017686497,1.5639475776891496,-1.048374794358852,0.9552645319562666
2024-01-17,-2.133824426068798,-1.2983643405952796,1.1208090061359064,-0.5700122171739828,0.8862844686530543
2024-01-18,-2.3200235279254473,-1.387608520088116,1.4170198986343894,-0.19752655290770402,0.8834767829380856
2024-01-19,-2.2177162506933676,-1.5232977418814142,1.2319168917740826,-0.39235439489931884,0.8835350778711684
2024-01-22,-2.3390032488450974,-1.6445298977215705,1.3868596313438433,-0.33193183175358054,1.1297922793108186
2024-01-23,-2.5576545482749116,-1.7862958076092015,1.6090972543085942,-0.5024861825896065,1.1394361249562848
2024-01-24,-2.4657150689123504,-1.901498407704296,1.6828231737745774,-0.41516926303642954,1.3794468368332506
2024-01-25,-2.173649993379206,-1.4649233649269093,1.587422429350844,-0.6315012736808315,1.254585225021126
2024-01-26,-2.0953163498795027,-1.4460769978681267,1.5613550241967589,-0.7083259686027195,1.1186762614292238
2024-01-29,-1.9218576831930663,-1.611428514718589,1.489273889890244,-0.9033645961034312,1.599400556348701
2024-01-30,-2.2994985785064297,-1.25617211363068,1.537874856442734,-1.0515493963912608,2.005806333912563
2024-01-31,-2.0301955888231253,-1.2065326763812276,1.2022395894489493,-1.3488008825778535,2.1144610984717205
2024-02-01,-1.837475422530036,-0.6064448002596544,0.9839130118886424,-1.3528975052621264,2.0530364197637376
2024-02-02,-2.117005989193404,-0.17304033721414303,1.1240847226514092,-1.5250549486952392,1.4908699276056907
2024-02-05,-2.117626561006386,-0.04738780577661139,0.6819499178916406,-1.5821936133414003,1.591218672590326
2024-02-06,-1.9934643189182992,-0.17370659178761755,0.4999514678572517,-1.7889225676391334,1.6692909142806633
2024-02-07,-1.8586830566100652,-0.1853480168286677,1.010650442012348,-1.6862705262130893,1.6236641063812196
2024-02-08,-1.698104024339733,0.1311116825022193,0.9786706894028095,-1.7139147949931004,2.047604248203463
2024-02-09,-1.604117868187054,-0.1311582868246805,0.7636611731016407,-1.393372468755973,1.6949349087635828
2024-02-12,-1.98171455718624,0.05081104772714644,0.7183445509768837,-2.0327832062411395,1.7520329491530686
2024-02-13,-2.0160803061320203,0.23300618334964338,0.6152716240570782,-1.998565100939941,1.7203214264720097
2024-02-14,-1.6694094096002239,0.6204333551131374,0.3541155662013346,-1.949503267672451,1.3418241767065902
2024-02-15,-1.6619831017093545,0.6778523158906278,0.5600690622797809,-2.4057451794056064,1.6166147892109577
2024-02-16,-1.5805529129066824,0.7917967315510819,0.5039696804249167,-2.1356666097336063,1.2451276857145481
2024-02-19,-1.6134724605790236,0.8245497662680661,0.26179861999008386,-2.421767688711007,0.9224459965916086
2024-02-20,-1.8122322296637166,0.5732182942536576,0.04910194958815416,-2.1625453551897715,0.4631257502013738
2024-02-21,-2.0313304201639366,0.5814291323207901,-0.0947262998886868,-2.169875587688313,0.6804652697541803
2024-02-22,-1.865686330323156,0.5146668002499429,-0.07920554369922152,-1.7909732994372587,0.8040179811431126
2024-02-23,-1.8395264988588773,1.0542213465888033,-0.13521866645345604,-1.2563063736200184,0.6488643716112331
2024-02-26,-1.7376758051186456,0.905510741518708,0.19538719443242247,-1.2586766824211943,0.5039239884480784
2024-02-27,-0.9618301292626774,0.9285926171901242,0.11495074532439868,-1.3145952278417254,0.4879769082695446
2024-02-28,-0.5441943343991167,0.9948945191721875,0.19487505061473417,-0.8723762969622325,0.3473519471015303
2024-02-29,-0.8571733353670826,1.1805606759913145,0.6118603671244089,-1.0383446008973882,0.4847057705866925
2024-03-01,-0.945746724071972,1.4178471235272732,0.694187677062338,-1.1943271011734393,0.7613914882195442
2024-03-04,-0.9741582060931008,1.708127120233966,0.46346873443341646,-1.133382706487311,0.2719215744408483
2024-03-05,-1.4191102715354624,1.7332412764635807,0.27758368863431426,-0.6581603279306544,0.13280738069903064
2024-03-06,-1.6480587886727949,1.9468763580130195,-0.03262848381263772,-0.7950466023632041,-0.04012231426748318
2024-03-07,-2.6542959999176383,1.9711631101251514,0.047746512128366045,-0.4312927937716255,-0.21656867133564184
2024-03-08,-2.9612936240956826,1.8629033838853972,-0.21723137401677609,-0.5443754414296109,-0.1763540246521144
2024-03-11,-2.9329229347849846,2.258642750735931,-8.430676729562461e-05,-0.33627661599593117,-0.17337764046704507
2024-03-12,-2.391449022882183,2.457280763015037,-0.04967626523160874,-0.42672092633641706,-0.29783940650377305
2024-03-13,-2.059339095781936,3.110563242897187,-0.3095922605515997,-0.04401818995667938,-0.45703666200394377
2024-03-14,-2.1400034397563448,2.8320047061904923,-0.6887275922354055,-0.18224670548810784,-0.09144365967277017
2024-03-15,-1.8364742268006562,2.4929745640814125,-0.5549926132462982,-0.6893698823728341,-0.06465502952178294
2024-03-18,-1.9498819634071896,2.4463989743972405,-0.5436706147108302,-0.7668302093002577,0.18210007250038612
2024-03-19,-1.7895913842796494,2.4294273596864153,-0.922719328766063,-0.8614547716603496,-0.14238026271329304
2024-03-20,-1.4509154507402746,2.3513930877199143,-0.8508193354335928,-1.0316657694315443,-0.16243369843078026
2024-03-21,-2.0526143199828524,2.236003539685252,-0.6725032026775452,-0.9755156418839722,0.0868370156092692
2024-03-22,-1.9959409563690502,2.0741087441333286,-0.5616494144825626,-1.1245542837756297,-0.10943350361348092
2024-03-25,-1.929282271711767,2.411261922502484,-1.16793935074631,-1.5543791688711586,-0.36308069182747355
2024-03-26,-2.31845973475019,2.7605282922680674,-1.2994057658469282,-1.8959248696173663,-0.3265815821081693
2024-03-27,-2.2058647543932146,2.6695550051938755,-1.156300641738111,-1.876931156984734,-0.20411798805321388
2024-03-28,-1.5644359775184304,2.8687595074783143,-1.1661325022618143,-1.621064471490894,-0.19861229469924976
2024-03-29,-1.8379719032966415,2.6027937553563114,-1.335333535540302,-1.337841914462598,-0.26249977925628504
2024-04-01,-1.8951588767903493,3.142665797431107,-1.1068495789044825,-1.640626718220575,-0.06293101712327488
2024-04-02,-1.7971497158355256,3.3066064384608946,-1.3893792683744877,-1.5043829075686155,-0.09065295117780531
2024-04-03,-1.9126586864876491,3.2509832143467414,-0.8792246693095849,-1.2207314111526153,-0.036102596236441235
2024-04-04,-1.5945016510019234,3.490996833173605,-1.0228864310475725,-1.3015445164213517,-0.05846725213945059
2024-04-05,-1.5081927661894308,3.2042746792082535,-1.1534124744054055,-1.27518966670153,-0.15536049030675478
2024-04-08,-1.6781554392123463,3.1083370454405808,-1.1370559475268902,-1.4519024907055023,-0.09298336811078843
2024-04-09,-2.1832059577036986,3.260546312608238,-1.179011436605852,-1.5593216567684622,-0.32426760598159826
2024-04-10,-1.8396188859698674,3.328374062648704,-1.7015515350409394,-1.13704035837581,-0.40798955635838524
2024-04-11,-1.8874612260625927,3.2711028051343973,-1.5599269545972565,-0.8368292860508821,-0.37616936151865094
2024-04-12,-1.549468082956813,3.3930043520198807,-1.7439368505880555,-0.42793693178755005,-0.4238979968518017
2024-04-15,-1.553648065436161,3.402306782744936,-1.262050844333744,-0.7950181798666405,-0.8086152988231887
2024-04-16,-1.4940736866276643,3.5183836325334594,-1.4142446084171392,-1.0472347735031038,-0.8324824696971236
2024-04-17,-1.5140566991746456,3.3955871525224164,-1.5542966563759248,-0.7332656327793177,-0.568758020530602
